File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Sample Type
5dabad17-b3e1-4460-9f7d-a8ed2c767f06,e433afef-7462-42d7-bc0e-300f576df64a.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CV-7418,TCGA-CV-7418-01A,Primary Tumor
6bd6fc0b-92a2-44b9-a6ba-6740f2fcf18f,20082dc7-b639-4bdb-bc6c-bb58e56675e8.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CQ-A4C6,TCGA-CQ-A4C6-01A,Primary Tumor
dd14d03f-63f1-41cb-98e8-824f01d0b664,edf91aa8-bcc3-4acf-b780-10f525405cea.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CV-6936,TCGA-CV-6936-01A,Primary Tumor
07cde3f9-19c5-45ae-afc4-431b2118e483,be2c9880-9391-4eb4-8fa3-2f44761c2b54.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CV-7428,TCGA-CV-7428-01A,Primary Tumor
15fd3816-bb93-4e96-a8d2-e71ab251c316,c67a9442-495e-4523-a9c7-b3cbbeecc1ce.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CR-6488,TCGA-CR-6488-01A,Primary Tumor
35c87238-6082-4a27-9814-9370a7a90d11,dda2c2a8-3c98-4b16-a70f-5b6c89d72d3f.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-P3-A5QE,TCGA-P3-A5QE-01A,Primary Tumor
a1d33b16-8232-4e91-b95c-5f3209fe7805,04199d64-ece0-4ce8-be6c-a7eb758b6405.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CN-5360,TCGA-CN-5360-01A,Primary Tumor
9ebcd1b6-609c-41e0-a710-36eb6d349f80,2493829b-2102-4cd4-b4f1-043967c3daea.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CV-5966,TCGA-CV-5966-01A,Primary Tumor
b9074c1b-1886-4e8e-bb4d-6a29751e2ab3,c65051d8-4815-4a9d-be65-de1aa152a346.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CV-7247,TCGA-CV-7247-01A,Primary Tumor
948527bd-5c50-4dd7-8a68-38c74d03fc93,ed29f822-9020-49ed-84f3-8ed53ed90d2d.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CN-5365,TCGA-CN-5365-01A,Primary Tumor
81484ed6-9c06-4be0-8c84-63680b45c0f7,537d05c7-a7d0-48ab-aae0-90fde055a277.FPKM.txt.gz,Transcriptome Profiling,Gene Expression Quantification,TCGA-HNSC,TCGA-CV-5970,TCGA-CV-5970-01A,Primary Tumor
