File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Sample Type
2d18f75f-1aa1-43b7-a16e-52b5c1d29b8e,26717482-f024-4af2-9998-1923ff3f43f5.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-CV-7409,TCGA-CV-7409-01A,Primary Tumor
e9bdaf65-7496-49e6-aecd-c915b424cc8d,afc69e61-2af6-4e1c-a96c-71580bab5a2a.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-CV-A45Y,TCGA-CV-A45Y-01A,Primary Tumor
9c393b8e-9567-47d3-9276-0c73afcab2ae,9be3f345-7f9c-4448-a91d-d833962f89e5.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-CR-7382,TCGA-CR-7382-01A,Primary Tumor
17b52c49-6e16-4e93-ab1e-8f4eb466da80,64b19a37-29ea-487f-b9ea-212ee6362a1b.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-D6-8568,TCGA-D6-8568-01A,Primary Tumor
5d2d7dd1-2293-4b0c-8507-a2532358353c,d5a49023-d140-4da6-bb05-7ccd77eae9f9.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-CR-7371,TCGA-CR-7371-01A,Primary Tumor
1154dfa7-e96f-4228-b2e5-99c2af7ac63f,f56776a5-cfb9-47d6-8fec-a86b23f471be.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-CV-6954,TCGA-CV-6954-01A,Primary Tumor
cd7d6df5-120c-4275-8dea-35e813282c6b,537c34a0-87d9-4b28-8b19-47c0670fb820.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-CN-A49B,TCGA-CN-A49B-01A,Primary Tumor
00182c1c-85ae-4080-95ee-037ab84dc305,4145c5c1-41fb-449e-9b60-83f7120fe72d.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-QK-A6IJ,TCGA-QK-A6IJ-01A,Primary Tumor
7e98902e-71ed-4cfc-abdb-564df7af5ae5,5c6fef78-c196-49f6-acf3-f8de0676e25b.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-QK-A64Z,TCGA-QK-A64Z-01A,Primary Tumor
d4855784-ef00-4484-960e-60aa232dadce,cc5f90f1-9d51-405a-aa14-dfa55eb0d579.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-KU-A6H8,TCGA-KU-A6H8-01A,Primary Tumor
39e578de-3d32-41eb-b8ff-d99dffad404b,fad05adf-a9b8-44b1-a7c9-eabef3b67691.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-IQ-A61L,TCGA-IQ-A61L-01A,Primary Tumor
3161dfc4-de62-4524-a28e-ba8203620936,0b826315-76be-4785-8ec8-912da6222f1b.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-IQ-7632,TCGA-IQ-7632-01A,Primary Tumor
b7168264-7a4f-4a9c-ad34-eb82f48b3f24,5b27ae59-101c-44df-8f44-2da3e34b0e5e.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-CV-7242,TCGA-CV-7242-11A,Solid Tissue Normal
a99c39dc-4e3d-45c7-be4e-000612890cff,ecd30285-c282-4226-8f62-05eb8c3f05e0.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-BA-A6DJ,TCGA-BA-A6DJ-01A,Primary Tumor
3098d43a-2302-47c4-9227-efd1c0d773e1,2f0710bd-ca9e-4238-a802-4e80db71938c.mirbase21.mirnas.quantification.txt,Transcriptome Profiling,miRNA Expression Quantification,TCGA-HNSC,TCGA-D6-A6EM,TCGA-D6-A6EM-01A,Primary Tumor
