File ID,File Name,Data Category,Data Type,Project ID,Case ID,Sample ID,Sample Type
bc0d8aed-2c5a-41fe-9841-cf5c082d51fd,jhu-usc.edu_HNSC.HumanMethylation450.10.lvl-3.TCGA-F7-8298-01A-11D-2398-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-F7-8298,TCGA-F7-8298-01A,Primary Tumor
1a88196a-77e0-4687-b349-f3426544b4bd,jhu-usc.edu_HNSC.HumanMethylation450.1.lvl-3.TCGA-CN-4727-01A-01D-1433-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-CN-4727,TCGA-CN-4727-01A,Primary Tumor
4a81afdf-dd40-4fc4-b2b9-be9e5ba9130a,jhu-usc.edu_HNSC.HumanMethylation450.1.lvl-3.TCGA-BB-4228-01A-01D-1433-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-BB-4228,TCGA-BB-4228-01A,Primary Tumor
0ab1c3a0-69aa-4cd9-a3e7-aae9363bae22,jhu-usc.edu_HNSC.HumanMethylation450.6.lvl-3.TCGA-CR-7394-01A-11D-2014-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-CR-7394,TCGA-CR-7394-01A,Primary Tumor
205aba18-7e17-431d-a21a-388a66e21071,jhu-usc.edu_HNSC.HumanMethylation450.6.lvl-3.TCGA-CV-7261-01A-11D-2014-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-CV-7261,TCGA-CV-7261-01A,Primary Tumor
babc7ec7-5705-499f-a745-fbde4d11ae41,jhu-usc.edu_HNSC.HumanMethylation450.17.lvl-3.TCGA-RS-A6TP-01A-12D-A34K-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-RS-A6TP,TCGA-RS-A6TP-01A,Primary Tumor
ba7ed739-815e-4bda-99bc-858e7c0977e9,jhu-usc.edu_HNSC.HumanMethylation450.7.lvl-3.TCGA-HD-7754-01A-11D-2079-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-HD-7754,TCGA-HD-7754-01A,Primary Tumor
9425bda1-5f31-4372-a7f5-7e4cbd279c04,jhu-usc.edu_HNSC.HumanMethylation450.15.lvl-3.TCGA-CN-A63Y-01A-11D-A30F-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-CN-A63Y,TCGA-CN-A63Y-01A,Primary Tumor
2e51d37d-90cf-4697-9afe-db64d25ff2a3,jhu-usc.edu_HNSC.HumanMethylation450.4.lvl-3.TCGA-BB-4227-01A-01D-1871-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-BB-4227,TCGA-BB-4227-01A,Primary Tumor
4c33b6d7-9c39-4eda-84cf-080b716fd03e,jhu-usc.edu_HNSC.HumanMethylation450.15.lvl-3.TCGA-IQ-A61J-01A-11D-A30F-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-IQ-A61J,TCGA-IQ-A61J-01A,Primary Tumor
a006cbd3-8fe4-43f0-8e38-5ab4a9af2c73,jhu-usc.edu_HNSC.HumanMethylation450.4.lvl-3.TCGA-CR-6487-01A-11D-1871-05.gdc_hg38.txt,DNA Methylation,Methylation Beta Value,TCGA-HNSC,TCGA-CR-6487,TCGA-CR-6487-01A,Primary Tumor
